Tỉnh,Quận,Trường
Cần Thơ,Huyện Cờ Đỏ,Nhóm trẻ độc lập Nhà Thờ (925DL001)
Cần Thơ,Huyện Cờ Đỏ,Nhóm trẻ độc lập cô Hằng (925DL006)
Cần Thơ,Huyện Cờ Đỏ,Nhóm trẻ độc lập Diệu Hiền (925DL007)
Cần Thơ,Huyện Cờ Đỏ,Nhóm trẻ độc lập Kim Hạnh (925DL008)
Cần Thơ,Huyện Cờ Đỏ,MN Trung Thạnh 2 (92923216)
Cần Thơ,Huyện Cờ Đỏ,MN Trung Hưng 1 (92924215)
Cần Thơ,Huyện Cờ Đỏ,MN Thạnh Phú 1 (92924301)
Cần Thơ,Huyện Cờ Đỏ,MN Thạnh Phú 2 (92924302)
Cần Thơ,Huyện Cờ Đỏ,MN Đông Hiệp (92925203)
Cần Thơ,Huyện Cờ Đỏ,MN Trung Hưng 2 (92925211)
Cần Thơ,Huyện Cờ Đỏ,MN Trung An (92925212)
Cần Thơ,Huyện Cờ Đỏ,MN Đông Thắng (92925213)
Cần Thơ,Huyện Cờ Đỏ,MN Thới Xuân (92925214)
Cần Thơ,Huyện Cờ Đỏ,MN Thới Hưng 2 (92925215)
Cần Thơ,Huyện Cờ Đỏ,MN Thị trấn Cờ Đỏ (92925302)
Cần Thơ,Huyện Cờ Đỏ,MN Thới Hưng 1 (92925304)
Cần Thơ,Huyện Cờ Đỏ,MN Thới Đông 1 (92925305)
Cần Thơ,Huyện Cờ Đỏ,MN Trung Thạnh 1 (92925306)
Cần Thơ,Huyện Cờ Đỏ,MN Thới Đông 2 (92925307)
Cần Thơ,Huyện Cờ Đỏ,MN Thạnh Phú 3 (92925308)
Cần Thơ,Huyện Cờ Đỏ,MN Trung Hưng 3 (92925309)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thốt Nốt (Nhóm Hoa Mi) (923DL101)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Hồng Phượng) (923DL102)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Ngọc Hạnh 1) (923DL104)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Ngọc Khanh) (923DL106)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Phước Hương) (923DL107)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Phượng Hồng) (923DL108)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Thảo Tâm) (923DL109)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (nhóm Mặt Trời Nhỏ) (923DL110)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thốt Nốt (Nhóm Ngọc Thúy) (923DL111)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thốt Nốt (Tân Việt Mỹ) (923DL113)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thốt Nốt (Nhóm Quế Anh) (923DL115)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thới Thuận (Nhóm Tuổi Thơ) (923DL201)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thới Thuận 1 (Nhóm Thỏ Ngọc) (923DL302)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Trung Kiên (nhóm Minh Thư) (923DL504)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thuận An (Nhóm Họa Mi 1) (923DL801)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thuận An (Nhóm Kim Cần) (923DL802)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thuận An (Nhóm Tuổi Thơ) (923DL804)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thới Thuận (92923209)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thới Thuận 1 (92923210)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Tân Lộc (92923211)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Trung Nhứt (92923212)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Trung Kiên (92923213)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thuận Hưng 1 (92923214)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thuận Hưng 2 (92923221)
Cần Thơ,Quận Thốt Nốt,Mẫu Giáo Thuận An (92923222)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Tân Lộc 1 (92923223)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thạnh Hòa (92923224)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Thốt Nốt (92923225)
Cần Thơ,Quận Thốt Nốt,Mẫu giáo Tân Hưng (92923226)
Cần Thơ,Quận Thốt Nốt,Mầm non Thốt Nốt (92923301)
Cần Thơ,Quận Thốt Nốt,Mầm non Tân Lộc (92923302)
Cần Thơ,Quận Thốt Nốt,Mầm non Thạnh Hòa (92923303)
Cần Thơ,Quận Thốt Nốt,Mầm non Trung Kiên (92923304)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Thắng (92924206)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh An 1 (92924211)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Vĩnh Trinh 3 (92924213)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Lợi 1 (92924217)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Lợi 2 (92924218)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Vĩnh Bình (92924219)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Vĩnh Trinh 1 (92924221)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Vĩnh Trinh 2 (92924222)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thị Trấn Thạnh An (92924303)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Quới (92924304)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Thắng 2 (92924305)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Lộc 2 (92924307)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Lộc 1 (92924308)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Mỹ (92924309)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thị trấn Thạnh An 1 (92924310)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thị trấn Vĩnh Thạnh (92924311)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Lộc 3 (92924312)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh An 2 (92924314)
Cần Thơ,Huyện Vĩnh Thạnh,Mầm non Thạnh Tiến (92924315)
