Tỉnh,Quận,Trường
Hà Nội,Quận Ba Đình,Tiểu học Ba Đình (01001401)
Hà Nội,Quận Ba Đình,Tiểu học Đại Yên (01001402)
Hà Nội,Quận Ba Đình,Tiểu học Kim Đồng (01001403)
Hà Nội,Quận Ba Đình,Tiểu học Thủ Lệ (01001404)
Hà Nội,Quận Ba Đình,Tiểu học Nguyễn Bá Ngọc (01001405)
Hà Nội,Quận Ba Đình,Tiểu học Ngọc Hà (01001406)
Hà Nội,Quận Ba Đình,Tiểu học Việt Nam - Cu Ba (01001407)
Hà Nội,Quận Ba Đình,Tiểu học Nguyễn Trung Trực (01001408)
Hà Nội,Quận Ba Đình,Tiểu học Hoàng Hoa Thám (01001409)
Hà Nội,Quận Ba Đình,Tiểu học Phan Chu Trinh (01001410)
Hà Nội,Quận Ba Đình,Tiểu học Thành Công A (01001411)
Hà Nội,Quận Ba Đình,Tiểu học Nghĩa Dũng (01001412)
Hà Nội,Quận Ba Đình,Tiểu học Thành Công B (01001413)
Hà Nội,Quận Ba Đình,Tiểu học Hoàng Diệu (01001414)
Hà Nội,Quận Ba Đình,Tiểu học Vạn Phúc (01001415)
Hà Nội,Quận Ba Đình,Tiểu học Nguyễn Tri Phương (01001416)
Hà Nội,Quận Ba Đình,Trường Tiểu học Ngọc Khánh (01001417)
Hà Nội,Quận Ba Đình,Trường Tiểu học Hà Nội (01001419)
Hà Nội,Quận Ba Đình,Trường Tiểu học Quốc tế Việt Nam - Singapore - Ba Đình (01001420)
Hà Nội,Quận Ba Đình,"Trường Tiểu học, THCS, THPT Thực Nghiệm KHGD (01001604)"
Hà Nội,Quận Ba Đình,Tiểu học Vinschool Metropolis (011110799)
Hà Nội,Huyện Ba Vì,Tiểu học Khánh Thượng (01271401)
Hà Nội,Huyện Ba Vì,Tiểu học Minh Quang A (01271403)
Hà Nội,Huyện Ba Vì,Tiểu học Minh Quang B (01271404)
Hà Nội,Huyện Ba Vì,Tiểu học Thuần Mỹ (01271405)
Hà Nội,Huyện Ba Vì,Tiểu học Phong Vân (01271406)
Hà Nội,Huyện Ba Vì,Tiểu học Thụy An (01271407)
Hà Nội,Huyện Ba Vì,Tiểu học Cẩm Lĩnh (01271408)
Hà Nội,Huyện Ba Vì,Tiểu học Phú Cường (01271409)
Hà Nội,Huyện Ba Vì,Tiểu học Thái Hoà (01271410)
Hà Nội,Huyện Ba Vì,Tiểu học Vạn Thắng (01271411)
Hà Nội,Huyện Ba Vì,Tiểu học Đồng Thái (01271412)
Hà Nội,Huyện Ba Vì,Tiểu học Phú Đông (01271413)
Hà Nội,Huyện Ba Vì,Tiểu học Phú Sơn (01271414)
Hà Nội,Huyện Ba Vì,Tiểu học Phú Châu (01271415)
Hà Nội,Huyện Ba Vì,Tiểu học Sơn Đà (01271416)
Hà Nội,Huyện Ba Vì,Tiểu học Tòng Bạt (01271417)
Hà Nội,Huyện Ba Vì,Tiểu học Tản Hồng (01271418)
Hà Nội,Huyện Ba Vì,Tiểu học Châu Sơn (01271419)
Hà Nội,Huyện Ba Vì,Tiểu học Phú Phương (01271420)
Hà Nội,Huyện Ba Vì,Tiểu học Tản Lĩnh (01271421)
Hà Nội,Huyện Ba Vì,Tiểu học Tây Đằng A (01271422)
Hà Nội,Huyện Ba Vì,Tiểu học Vật Lại (01271423)
Hà Nội,Huyện Ba Vì,Tiểu học Chu Minh (01271424)
Hà Nội,Huyện Ba Vì,Tiểu học Minh Châu (01271425)
Hà Nội,Huyện Ba Vì,Tiểu học Cam Thượng (01271426)
Hà Nội,Huyện Ba Vì,Tiểu học Đông quang (01271427)
Hà Nội,Huyện Ba Vì,Tiểu học Tiên Phong (01271428)
Hà Nội,Huyện Ba Vì,Tiểu học Ba Trại B (01271429)
Hà Nội,Huyện Ba Vì,Tiểu học TTNC Bò và Đồng cỏ Ba Vì (01271430)
Hà Nội,Huyện Ba Vì,Tiểu học Vân Hoà (01271431)
Hà Nội,Huyện Ba Vì,Tiểu học Ba Trại A (01271432)
Hà Nội,Huyện Ba Vì,Tiểu học Yên Bài (01271433)
