Tỉnh,Quận,Trường
Thành phố Hải Phòng,Huyện An Dương,Tiểu học An Dương (31306401)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học An Đồng (31306402)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học An Hòa (31306403)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học An Hồng (31306404)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học An Hưng (31306405)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Bắc Sơn (31306406)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Đại Bản 1 (31306408)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Đại Bản 2 (31306409)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Đặng Cương (31306410)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Đồng Thái (31306414)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Hồng Thái (31306415)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Lê Lợi (31306416)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Lê Thiện (31306417)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Nam Sơn (31306419)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Quốc Tuấn (31306420)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Tân Tiến (31306421)
Thành phố Hải Phòng,Huyện An Dương,Tiểu học Hồng Phong (31306424)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Thị Trấn An Lão (31313401)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Nguyễn Đốc Tín (31313402)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học An Thắng (31313403)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học An Thọ (31313404)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học An Tiến (31313405)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Áng Sơn (31313406)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Bát Trang (31313407)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Chiến Thắng (31313408)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Mỹ Đức 1 (31313409)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Mỹ Đức 2 (31313410)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Quang Trung (31313411)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Quang Hưng (31313412)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Quốc Tuấn (31313413)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Tân Dân (31313414)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Tân Viên (31313415)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Trần Tất Văn (31313416)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Trường Sơn (31313417)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Trường Thành (31313418)
Thành phố Hải Phòng,Huyện An Lão,Tiểu học Trường Thọ NC (31313419)
Thành phố Hải Phòng,Huyện Bạch Long Vĩ,Trường  MN - TH Bạch Long Vĩ (302001)
Thành phố Hải Phòng,Huyện Cát Hải,Tiểu học Đoàn Đức Thái (31317401)
Thành phố Hải Phòng,Huyện Cát Hải,Tiểu học Nguyễn Văn Trỗi (31317402)
Thành phố Hải Phòng,Huyện Cát Hải,Tiểu học Chu Văn An (31317403)
Thành phố Hải Phòng,Huyện Cát Hải,Tiểu học Việt Hải (31317404)
