Tỉnh,Quận,Trường
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Trung Trực (79762401)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Lương Thế Vinh (79762402)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Bình Triệu (79762404)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Đặng Thị Rành (79762405)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Hiệp Bình Phước (79762406)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Thái Văn Lung (79762407)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Tam Bình (79762408)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Trần Văn Vân (79762409)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Bình Chiểu (79762410)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Xuân Hiệp (79762411)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Hoàng Diệu (79762412)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Văn Triết (79762413)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Linh Tây (79762414)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Bình Quới (79762415)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Đặng Văn Bất (79762416)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Linh Đông (79762417)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Văn Banh (79762418)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Hiệp Bình Chánh (79762419)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Từ Đức (79762420)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Trương Văn Hải (79762421)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Văn Lịch (79762422)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Đào Sơn Tây (79762423)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Đỗ Tấn Phong (79762427)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Văn Tây (79762428)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Văn Nở (79762429)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Long Bình (79763401)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Phước Bình (79763402)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Tạ Uyên (79763403)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Đinh Tiên Hoàng (79763404)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Phú Hữu (79763405)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Võ Văn Hát (79763406)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Long Thạnh Mỹ (79763407)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Hiệp Phú (79763408)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Nguyễn Minh Quang (79763409)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Phước Thạnh (79763410)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Trương Văn Thành (79763411)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Phong Phú (79763412)
Thành phố Hồ Chí Minh,Thành Phố Thủ Đức,TH Long Phước (79763413)
