Tỉnh,Quận,Trường
Đà Nẵng,Quận Cẩm Lệ,Tiểu học FM (456654)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Trần Đại Nghĩa (48499401)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Trần Văn Dư (48499402)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Trần Nhân Tông (48499403)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Hoàng Dư Khương (48499404)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Ông Ích Đường (48499405)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Nguyễn Như Hạnh (48499406)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Thái Thị Bôi (48499407)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Diên Hồng (48499408)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Ngô Quyền (48499409)
Đà Nẵng,Quận Cẩm Lệ,Trường TH Tôn Đức Thắng (48499410)
Đà Nẵng,Quận Hải Châu,Trường TH Núi Thành (48492403)
Đà Nẵng,Quận Hải Châu,Trường TH Lê Đình Chinh (48492404)
Đà Nẵng,Quận Hải Châu,Trường TH Nguyễn Du (48492405)
Đà Nẵng,Quận Hải Châu,Trường TH Lê Quý Đôn (48492406)
Đà Nẵng,Quận Hải Châu,Trường TH Bạch Đằng (48492407)
Đà Nẵng,Quận Hải Châu,Trường TH Tây Hồ (48492408)
Đà Nẵng,Quận Hải Châu,Trường TH Hùng Vương (48492409)
Đà Nẵng,Quận Hải Châu,Trường Tiểu học Phù Đổng (48492410)
Đà Nẵng,Quận Hải Châu,Trường TH Trần Văn Ơn (48492411)
Đà Nẵng,Quận Hải Châu,Trường TH Hoàng Văn Thụ (48492412)
Đà Nẵng,Quận Hải Châu,Trường TH Lê Lai (48492413)
Đà Nẵng,Quận Hải Châu,Trường TH Phan Thanh (48492414)
Đà Nẵng,Quận Hải Châu,Trường TH Lý Tự Trọng (48492415)
Đà Nẵng,Quận Hải Châu,Trường TH Võ Thị Sáu (48492416)
