Tỉnh,Quận,Trường
Tỉnh An Giang,Huyện An Phú,Tiểu học A Vĩnh Hậu (89886401)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Vĩnh Hậu (89886402)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Vĩnh Trường (89886404)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Vĩnh Trường (89886405)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Vĩnh Lộc (89886407)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Vĩnh Lộc (89886408)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Đa Phước (89886410)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Đa Phước (89886411)
Tỉnh An Giang,Huyện An Phú,Tiểu học C Đa Phước (89886412)
Tỉnh An Giang,Huyện An Phú,Tiểu học A An Phú (89886413)
Tỉnh An Giang,Huyện An Phú,Tiểu học B An Phú (89886414)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Vĩnh Hội Đông (89886415)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Vĩnh Hội Đông (89886416)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Phú Hội (89886417)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Phú Hội (89886418)
Tỉnh An Giang,Huyện An Phú,Tiểu học C Phú Hội (89886419)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Phú Hữu (89886420)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Phú Hữu (89886421)
Tỉnh An Giang,Huyện An Phú,Tiểu học D Phú Hữu (89886423)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Phước Hưng (89886424)
Tỉnh An Giang,Huyện An Phú,Trường Tiểu học Phước Hưng (89886425)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Quốc Thái (89886426)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Quốc Thái (89886427)
Tỉnh An Giang,Huyện An Phú,Tiểu học C Quốc Thái (89886428)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Nhơn Hội (89886429)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Nhơn Hội (89886430)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Khánh An (89886431)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Khánh An (89886432)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Long Bình (89886434)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Khánh Bình (89886435)
Tỉnh An Giang,Huyện An Phú,Tiểu học A Khánh Bình (89886436)
Tỉnh An Giang,Huyện An Phú,Tiểu học B Long Bình (89886437)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Lê Văn Tám-CD (89884401)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Nguyễn Huệ-CD (89884402)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Hoàng Hoa Thám-CD (89884403)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Bán trú Hùng Vương-CD (89884404)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Trưng Vương-CD (89884406)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Lê Lợi-CD (89884407)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Lý Tự Trọng-CD (89884408)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học A Vĩnh Nguơn-CD (89884409)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Trần Quốc Toản-CD (89884410)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Kim Đồng-CD (89884411)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Lương Định Của-CD (89884412)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Chu Văn An-CD (89884414)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Đoàn Thị Điểm-CD (89884415)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Nguyễn Hiền-CD (89884416)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Mạc Đĩnh Chi-CD (89884417)
Tỉnh An Giang,Thành phố Châu Đốc,Tiểu học Lương Thế Vinh-CD (89884419)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học A Mỹ Đức-CP (89889401)
Tỉnh An Giang,Huyện Châu Phú,Tiểu Học B Mỹ Đức (89889402)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học C Mỹ Đức-CP (89889403)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học Đ Mỹ Đức-CP (89889404)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học A Bình Mỹ-CP (89889406)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học B Bình Mỹ -CP (89889407)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học C Bình Mỹ (89889408)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học Đ Bình Mỹ-CP (89889409)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học A Thạnh Mỹ Tây-CP (89889411)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học B Thạnh Mỹ Tây-CP (89889412)
Tỉnh An Giang,Huyện Châu Phú,Tiểu học C Thạnh Mỹ Tây-CP (89889413)
