Tỉnh,Quận,Trường
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Sông Cầu (77750401)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Nghĩa Thành (77750402)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Suối Nghệ (77750403)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Bình Ba (77750405)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Đinh Tiên Hoàng (77750407)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Ngãi Giao (77750408)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Nguyễn Thị Minh Khai (77750409)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Bình Giã (77750411)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Chu Văn An (77750412)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Lê Văn Tám (77750413)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Kim Đồng (77750414)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Trần Phú (77750416)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Kim Long (77750417)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Lê Hồng Phong (77750418)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Quảng Thành (77750419)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Lê Quý Đôn (77750420)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Trần Quốc Tuấn (77750421)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Phan Chu Trinh (77750423)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Bùi Thị Xuân (77750424)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Trần Quang Diệu (77750425)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH Nguyễn Đình Chiểu (77750426)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Châu Đức,TH-THCS Phan Đình Phùng (77750513)
Tỉnh Bà Rịa - Vũng Tàu,Huyện Côn Đảo,Tiểu học Cao Văn Ngọc (77755401)
