Tỉnh,Quận,Trường
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Kim Đồng (95954401)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Lê Hồng Phong (95954402)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Phùng Ngọc Liêm (95954405)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Lê Văn Tám (95954406)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Lê Quý Đôn (95954408)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Trần Phú (95954409)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Lê Thị Riêng (95954410)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Trần Quốc Toản (95954412)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Đinh Bộ Lĩnh (95954413)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Nguyễn Du (95954415)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Trần Hưng Đạo (95954416)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Ngô Quyền (95954417)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Tư thục Tân Huê (95954418)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường Tiểu học Trần Đại Nghĩa (95954419)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Trường tiểu học Lê Lợi (95954420)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Tiểu học Tâm Tâm (95954421)
Tỉnh Bạc Liêu,Thành phố Bạc Liêu,Nguyễn Thị Định (9595402001)
Tỉnh Bạc Liêu,Huyện Đông Hải,rường Tiểu học Chu Văn An (95960401)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Kim Sơn (95960402)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Quang Trung (95960403)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Trần Đại Nghĩa (95960405)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Văn Trỗi (95960406)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Lê Thị Hồng Gấm (95960407)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Bỉnh Khiêm (95960409)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Văn Uông (95960410)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Trần Quốc Toản (95960411)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Chí Thanh (95960413)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Lê Văn Tám (95960414)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Đặng Thùy Trâm (95960415)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Trãi (95960417)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Ngô Quyền (95960418)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Tôn Đức Thắng (95960419)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Nguyễn Huệ (95960422)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Võ Văn Kiệt (95960423)
Tỉnh Bạc Liêu,Huyện Đông Hải,Trường Tiểu học Kim Đồng (95960425)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Giá Rai A (95959401)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Giá Rai B (95959402)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Phú A (95959404)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Phú B (95959405)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Tân Hiệp (95959406)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Thạnh Bình A (95959408)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Thạnh Bình B (95959409)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Thạnh Đông (95959410)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Nam (95959411)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Hộ Phòng A (95959412)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Hộ Phòng B (95959413)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Thạnh B (95959417)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Tân Thạnh A (95959419)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Tân (95959420)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Thạnh Tây (95959421)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường Tiểu học Phong Thạnh Tây B (95959422)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường TH-THCS Phong Thạnh (95959509)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường TH-THCS Phong Thạnh A (95959601)
Tỉnh Bạc Liêu,Thị xã Giá Rai,Trường TH-THCS Tân Thạnh (95959602)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Hòa Bình A (95953401)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Hòa Bình B (95953402)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Hòa Bình C (95953403)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Minh Diệu A (95953404)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Minh Diệu B (95953405)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Bình A (95953406)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Bình B (95953407)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Bình C (95953408)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Hậu A (95953409)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Hậu C (95953410)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Đông Hải (95953411)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Mỹ A 1 (95953413)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Mỹ A 2 (95953414)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Mỹ B 1 (95953415)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Yên Khánh (95953416)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Thịnh A (95953418)
Tỉnh Bạc Liêu,Huyện Hòa Bình,Tiểu học Vĩnh Thịnh B (95953419)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Ngan Dừa (95956401)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nguyễn Trung Trực (95956402)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Mạc Đĩnh Chi (95956403)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Lương Thế Vinh (95956404)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Trương Văn An (95956405)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Vĩnh Phú (95956406)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Lộc Ninh (95956407)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nguyễn Khuyến (95956408)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nguyễn Bính (95956409)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Võ Trường Toản (95956410)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Lưu Hữu Phước (95956411)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Trần Văn Tất (95956413)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Ba Đình (95956414)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nhụy Cầm (95956415)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nguyễn Trường Tộ (95956416)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Xuân Diệu (95956417)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nguyễn Văn Huyên (95956418)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Phan Thanh Giản (95956419)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Trần Kim Túc (95956420)
Tỉnh Bạc Liêu,Huyện Hồng Dân,Trường Tiểu học Nhà Lầu (95956421)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học A Vĩnh Thanh (95957401)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học B Vĩnh Thanh (95957402)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học C xã Vĩnh Thanh (95957403)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học A Vĩnh Phú Đông (95957404)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học B Vĩnh Phú Đông (95957405)
Tỉnh Bạc Liêu,Huyện Phước Long,Trường Tiểu học C xã Vĩnh Phú Đông (95957406)
