Tỉnh,Quận,Trường
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Ngọc Sơn (24223401)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Danh Thắng (24223402)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Bắc Lý số 1 (24223403)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Xuân Cẩm (24223404)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Mai Trung số 1 (24223405)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Mai Trung số 2 (24223406)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hợp Thịnh số 1 (24223407)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hương Lâm số 1 (24223408)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hương Lâm số 2 (24223409)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đông Lỗ số 1 (24223410)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đông Lỗ số 2 (24223411)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Châu Minh (24223412)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Mai Đình số 1 (24223413)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hoàng Vân (24223414)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Thái Sơn (24223415)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hòa Sơn (24223416)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Thường Thắng (24223417)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hoàng An (24223418)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Lương Phong số 1 (24223419)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Lương Phong số 2 (24223420)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hoàng Lương (24223421)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đức Thắng số 1 (24223422)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đức Thắng số 2 (24223423)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đoan Bái số 1 (24223424)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Đoan Bái số 2 (24223425)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Hoàng Thanh (24223426)
Tỉnh Bắc Giang,Huyện Hiệp Hòa,Trường Tiểu học Thanh Vân (24223428)
