Tỉnh,Quận,Trường
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Tiểu học Đức Xuân (06058401)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Tiểu học Sông Cầu (06058402)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Trường Tiểu học Nguyễn Thị Minh Khai (06058403)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Trường Tiểu học Phùng Chí Kiên (06058404)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Trường Tiểu học Nông Thượng (06058409)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Trường Tiểu học Xuất Hóa (06058410)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Tiểu học Dương Quang (06058411)
Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Trường Tiểu học Huyền Tụng (06058414)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường Tiểu học Bằng Thành I (06060401)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường TH Xuân La (06060403)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường PTDTBT TH Công Bằng (06060405)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường Tiểu học Cổ Linh (06060406)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường Tiểu học Bộc Bố (06060415)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường TH Cao Tân (06060416)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường TH Nghiên Loan 1 (06060422)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường Tiểu học Nghiên Loan II (06060423)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường PTDTBT TH Bằng Thành II (06060425)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường TH&THCS Giáo Hiệu (06060601)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường TH&THCS An Thắng (06060602)
Tỉnh Bắc Kạn,Huyện Pác Nặm,Trường PTDTBT TH&THCS Nhạn Môn (06060703)
Tỉnh Bắc Kạn,Huyện Ba Bể,Trường TH Mỹ Phương (06061414)
Tỉnh Bắc Kạn,Huyện Ba Bể,Trường PTDTBT TH Cao Thượng (06061417)
